"Project ID","Compliance Program ID","Cooperative/ Aggregate ID","Project Developer","Project Owner","Project Name","Offset Project Operator","Authorized Project Designee","Verification Body","Project Type","Status","Compliance Program Status","Project Site Location","Project Site State","Project Site Country","Additional Certification(s)","SDG Impact","Project Notes","Total Number of Offset Credits Registered ","Project Listed Date","Project Registered Date","Documents","Data","Project Website",
"CAR1240","CAOD5340","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas O'Hare","Reclamation Technologies, Inc. (dba A-Gas Americas, Inc.)","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","111348","09/26/2016","12/06/2016","View","View","www.agasamericas.com",
"CAR1011","CAOD5018","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2013-1","Reclamation Technologies, Inc. dba A-GAS RemTec","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","93055","08/23/2013","05/22/2014","View","View","www.remtec.net",
"CAR1051","CAOD5039","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2013-4","Reclamation Technologies, Inc dba A-GAS RemTec","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green Ohio","OHIO","US","","","","191960","02/06/2014","12/10/2014","View","View","www.remtec.net",
"CAR1069","CAOD5062","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2013-5","Reclamation Technologies, Inc.","None","TUV SUD America, Inc.","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","","Bowling Green, Ohio","OHIO","US","","","","129101","05/07/2014","05/05/2015","View","View","www.remtec.net",
"CAR1072","CAOD5067","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2014-1","Reclamation Technologies, Inc","None","TUV SUD America, Inc.","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","129838","05/29/2014","10/02/2014","View","View","www.remtec.net",
"CAR1089","CAOD5079","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2014-2","Reclamation Technologies, Inc.","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","Completed","Bowling Green","OHIO","US","","","","107744","07/23/2014","05/20/2015","View","View","www.remtec.net",
"CAR1093","CAOD5092","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2014-3","Reclamation Technologies, Inc.","None","SCS Engineers","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","","Bowling Green","OHIO","US","","","","148331","09/03/2014","11/05/2015","View","View","www.remtec.net",
"CAR1179","CAOD5201","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-GAS RemTec 2015-2","Reclamation Technologies, Inc.","none","","Ozone Depleting Substances - U.S. - ARB Compliance","Completed","","Bowling Green","OHIO","US","","","","135577","09/01/2015","01/30/2016","View","View","www.agasamericas.com",
"CAR1412","CAOD6412","","Reclamation Technologies Inc.","Reclamation Technologies Inc.","A-Gas UCSD1","Reclamation Technologies, Inc., dba A-Gas","None","","Ozone Depleting Substances - U.S. - ARB Compliance","Registered","Proposed Project","Wood County, Bowling Green, Ohio","OHIO","US","","","","24304","04/27/2020","08/18/2020","View","View","www.agasamericas.com",
"CAR1065","CALS5071","","California Bioenergy, LLC","California Bioenergy, LLC","ABEC New Hope LLC","California Bioenergy LLC","None","","Livestock - ARB Compliance","Completed","Terminated","9547 New Hope Road, Galt, CA 95632","CALIFORNIA","US","","","Terminated due to project developer request, 3/31/2020","4978","06/24/2014","04/06/2020","View","View","www.calbioenergy.com",
"CAR2252","N/A","","Adeco Agropecuaria S.A.","Adeco Agropecuaria S.A.","Adecoagro Biodigestor II Argentina","","","","Livestock Gas Capture/Combustion","Listed","Not ARB or WA ECO Eligible","Christophersen, Santa Fe","Santa Fe","AR","","","","","12/02/2025","","View","View","https://www.adecoagro.com/",
"CAR1298","CALS5398","","Camco Offsets I, LLC","Camco Offsets I, LLC","Adirondack Farms","Adirondack Farms, LLC","Camco Offsets I, LLC","","Livestock - ARB Compliance","Completed","Terminated","Peru, NY","NEW YORK","US","","","","77563","03/27/2018","07/30/2019","View","View","",
"CAR2135","CAMM5674","","Keyrock Energy, LLC","Keyrock Energy, LLC","Affinity Mine Methane Incineration Project","Keyrock Energy, LLC","None","Agri-Waste Technology, Inc.","Mine Methane Capture - ARB Compliance","Registered","Active ARB Project","Crab Orchad","WEST VIRGINIA","US","","","","32794","05/13/2025","02/19/2026","View","View","none",
"CAR1641","N/A","CARC1791","AgriCapture Inc","AgriCapture Inc","AgriCapture Grasslands Project 1","","","","Avoided Grassland Conversion","Registered","Not ARB or WA ECO Eligible","Bailey County, Texas","TEXAS","US","","","","86","09/27/2022","05/12/2023","View","View","",
"CAR1513","N/A","","AgriCapture Inc","AgriCapture Inc","AgriCapture US Rice Methane Project","","","","Soil Enrichment","Registered","Not ARB or WA ECO Eligible","AR, MS, LA, MO","ARKANSAS","US","","2. Zero Hunger;3. Good Health and Well-Being;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;9. Industry, Innovation and Infrastructure;12. Responsible Consumption and Production;13. Climate Action;14. Life Below Water;15. Life on Land","","177608","09/07/2021","10/21/2022","View","View","www.agricapture.com",
"CAR2154","CALS7154","","California Bioenergy, LLC","California Bioenergy, LLC","Ahlem Biogas LLC","Ahlem Biogas LLC","California Bioenergy LLC","","Livestock - ARB Compliance","Listed","Proposed Project","Hilmar","CALIFORNIA","US","","","","","06/05/2026","","View","View","",
"CAR1187","CAFR5217","","Mendocino Redwood Company, LLC","Mendocino Redwood Company, LLC","Albion","Mendocino Redwood Company","None","","Improved Forest Management - ARB Compliance","Completed","Inactive","Mendocino County","CALIFORNIA","US","","","","","10/21/2015","","View","View","",
"CAR807","N/A","","Alcoa Gas Producers, LLC","Alcoa Gas Producers, LLC","Alcoa Landfill Gas Destruction Project","","","","Landfill Gas Capture/Combustion","Completed","Not ARB or WA ECO Eligible","Blount County; Friendsville","TENNESSEE","US","","","","234874","01/31/2018","02/24/2012","View","View","",
"CAR655","N/A","","Northeast Wilderness Trust","Northeast Wilderness Trust","Alder Stream Preserve","","","","Improved Forest Management","Transitioned","Not ARB or WA ECO Eligible","Piscataquis County, Maine","MAINE","US","","","","36596","12/19/2013","03/02/2015","View","View","www.forestcarbonpartners.com",
"CAR2010","N/A","CARC1980","ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.","EJIDO ALFAJAYUCAN","Alfajayucan-ASRTulancingo 2F","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","LOC. ALFAJAYUCAN S/N, SINGUILUCAN","HIDALGO","MX","","","","","02/20/2026","","View","View","https://www.silvicultorestulancingo.org/",
"CAR1364","N/A","CARC1519","ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.","Ejido Alhuajoyucan","Alhuajoyucan - ASRTulancingo","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Cuatepec; Alhuajoyucan","HIDALGO","MX","","","","1522","06/24/2019","02/25/2021","View","View","",
"CAR1001","N/A","","Camco International Group, Inc.","Camco International Group, Inc.","Alliance Dairies","Camco International Group, Inc.","None","","Livestock Gas Capture/Combustion","Completed","Not ARB or WA ECO Eligible","Gilchrist County; Trenton, FL","FLORIDA","US","","","","9092","10/16/2013","04/09/2015","View","View","",
"CAR1582","N/A","","3Degrees Group, Inc","3Degrees Group, Inc","Alliance Dairy","3Degrees Group, Inc.","None","","Livestock Gas Capture/Combustion","Registered","Not ARB or WA ECO Eligible","Trenton, FL","FLORIDA","US","","","","33665","05/17/2022","10/17/2022","View","View","",
"CAR497","N/A","","Mattamuskeet Ventures I,  LLC","Mattamuskeet Ventures I,  LLC","Alligator River Avoided Conversion","","None","TUV SUD America, Inc.","Avoided Conversion","Registered","Not ARB or WA ECO Eligible","Hyde County","NORTH CAROLINA","US","","","","681964","09/29/2009","05/09/2011","View","View","",
"CAR2173","CALS7173","","California Bioenergy, LLC","California Bioenergy, LLC","Alta Sierra Dairy Biogas LLC","Alta Sierra Dairy Biogas LLC","California Bioenergy LLC","","Livestock - ARB Compliance","Listed","Proposed Project","7901 Ave 368, Dinuba, CA 93618","CALIFORNIA","US","","","","","05/01/2026","","View","View","https://calbioenergy.com/",
"CAR2264","CAMM7264","","Keyrock Environment,LLC","Keyrock Environment,LLC","Ama-nap","Keyrock Environment, LLC","None","","Mine Methane Capture - ARB Compliance","Registered","Proposed Project","Panama","ILLINOIS","US","","","","9166","12/23/2025","03/19/2026","View","View","none",
"CAR2056","CAMM5841","","Keyrock Energy, LLC","Keyrock Energy, LLC","American Eagle Mine Methane Incineration Project","Keyrock Energy, LLC","None","","Mine Methane Capture - ARB Compliance","Registered","Active ARB Project","Cabin Creek","WEST VIRGINIA","US","","","","516161","01/02/2025","06/12/2025","View","View","",
